countyCode,lossOnly,hyperCount,disasterCount,totalMultiLossProp,countUncluster,Risk_Score,Risk_Category
18121,-0.0,0.0,123.0,1.0,15.0,0.3157964182433751,lower
19069,-0.0,0.0,276.0,0.0,2.0,0.2763517704288492,lower
13035,-0.0,0.0,0.0,3.0,13.0,0.12666534720803221,lower
08039,-0.0,0.0,0.0,0.0,1.0,0.021149791486864335,lowest
44001,-0.0,39.0,772.0,40.0,125.0,0.886620718003108,medium
48035,-0.0,0.0,0.0,2.0,14.0,0.11919546955327709,lowest
44005,-0.0,118.0,533.0,57.0,89.0,0.9689604504615714,medium
39045,-0.0,0.0,105.0,24.0,84.0,0.4440473198612974,lower
38069,3523.4345393723074,0.0,0.0,0.0,6.0,0.6794446976117551,medium
17015,-0.0,0.0,152.0,7.0,19.0,0.37781970827573474,lower
41031,-0.0,0.0,0.0,0.0,6.0,0.059374971247816835,lowest
47021,344322.72888770304,0.0,749.0,52.0,42.0,1.5006682586029159,higher
46127,90966.91800324002,0.0,0.0,5.0,26.0,1.0270681972432747,medium
01051,-0.0,0.0,1009.0,7.0,35.0,0.4772418741048156,lower
13187,-0.0,0.0,0.0,2.0,14.0,0.11919546955327709,lowest
39083,-0.0,0.0,0.0,7.0,32.0,0.175898760548099,lower
19017,313144.52050807705,0.0,855.0,103.0,21.0,1.5011583314929433,higher
48175,8257.575560695841,0.0,680.0,3.0,14.0,1.0951581295107269,medium
37089,-0.0,7.0,569.0,28.0,119.0,0.7172127862502682,medium
12061,-0.0,85.0,27405.0,244.0,112.0,1.164992176472227,medium
31049,-0.0,0.0,0.0,0.0,3.0,0.04229958298135683,lowest
36051,-0.0,0.0,41.0,4.0,43.0,0.33041605061761364,lower
51105,-0.0,0.0,61.0,3.0,19.0,0.3157471676231411,lower
35051,-0.0,0.0,0.0,0.0,15.0,0.08459916597987706,lowest
05043,13554.516298723887,0.0,0.0,5.0,35.0,0.8913174031182904,medium
29015,-0.0,0.0,1.0,2.0,28.0,0.169239088120244,lower
05109,-0.0,0.0,0.0,2.0,9.0,0.10682363462748262,lowest
08077,-0.0,0.0,0.0,1.0,20.0,0.11596688989981979,lowest
29065,-0.0,0.0,40.0,0.0,4.0,0.20945047727198704,lower
51185,-0.0,0.0,579.0,59.0,99.0,0.551528524935999,medium
42103,-0.0,27.0,536.0,37.0,26.0,0.7896156858527908,medium
42115,51055.2001673241,46.0,1225.0,107.0,49.0,1.7479417041778407,higher
48343,-0.0,0.0,0.0,0.0,5.0,0.054671417905625685,lowest
42125,-0.0,101.0,966.0,116.0,191.0,1.027354855229268,medium
50001,-0.0,23.0,140.0,6.0,36.0,0.6714670991438835,medium
20103,-0.0,0.0,18.0,28.0,59.0,0.3641376032757458,lower
26121,-0.0,0.0,21.0,5.0,55.0,0.31592319237951705,lower
28049,-0.0,26.0,12943.0,615.0,469.0,1.1036739450346742,medium
48281,-0.0,0.0,54.0,1.0,19.0,0.2875041776550708,lower
51107,-0.0,0.0,58.0,20.0,57.0,0.40128436403461437,lower
36025,16532.307701554848,174.0,2602.0,250.0,89.0,1.8578540078991455,higher
30071,-0.0,0.0,0.0,3.0,12.0,0.12440411293695892,lower
53045,-0.0,0.0,330.0,35.0,92.0,0.5080935927386099,medium
37127,456654.5986465961,0.0,673.0,64.0,68.0,1.5387133215927107,higher
51199,-0.0,58.0,1249.0,234.0,45.0,0.9693306694657886,medium
29159,-0.0,0.0,122.0,7.0,29.0,0.3807679336879721,lower
30063,-0.0,0.0,39.0,9.0,42.0,0.3506782408497707,lower
48459,-0.0,0.0,25.0,1.0,4.0,0.21285454546465465,lower
51047,-0.0,0.0,11.0,7.0,31.0,0.2822515058122666,lower
40061,2335.4971088107195,0.0,0.0,0.0,3.0,0.631161341828549,medium
54069,61185.35380952363,989.0,1938.0,550.0,84.0,2.1231389298138406,higher
54065,-0.0,0.0,7.0,48.0,14.0,0.3019476832012203,lower
51165,-0.0,0.0,84.0,20.0,31.0,0.39890288991964357,lower
18183,-0.0,0.0,48.0,4.0,22.0,0.31727841946385715,lower
06093,-0.0,0.0,113.0,2.0,9.0,0.3113201089058664,lower
46037,183900.8754132393,0.0,0.0,30.0,109.0,1.1780258890777573,medium
22071,187405966.4112824,71327.0,291823.0,11013.0,603.0,3.4892494944303523,highest
01073,-0.0,99.0,9780.0,354.0,296.0,1.1757581918050741,medium
01127,-0.0,0.0,1005.0,6.0,24.0,0.46149991128059853,lower
29063,1799.311326966612,0.0,13.0,1.0,4.0,0.7551961638569361,medium
12039,-0.0,0.0,1539.0,1.0,20.0,0.43286864095771926,lower
